time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/std,train/learning_rate,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss
53,63488,31,1185,150,-0.002994676399976015,0.009277683263644577,300.0,0.0634765625,0.36774173378944397,0.0002,227.60896357000001,0.2,-0.005149171222001314,0.5042824149131775,0.005598838,-25.942169189453125
55,65536,32,1183,155,-0.003345867875032127,0.008434025663882494,300.0,0.06552734375,0.36776188015937805,0.0002,228.83938674,0.2,-0.0046556079760193825,0.5752053260803223,0.0075675095,-25.950721073150635
57,67584,33,1182,160,-0.00016950208228081465,0.006477386108599603,300.0,0.1080078125,0.36778366565704346,0.0002,230.32148085999998,0.2,-0.002409252803772688,0.6071563363075256,0.010176283,-25.95255002975464
58,69632,34,1182,165,-0.005446306290104985,0.0056213138857856395,300.0,0.07333984375,0.36781156063079834,0.0002,230.67207470000002,0.2,-0.007034890353679657,0.5205001831054688,0.007132668,-25.957888507843016
60,71680,35,1182,170,-0.004116045730188489,0.005226325104013085,300.0,0.04130859375,0.36778128147125244,0.0002,230.67207470000002,0.2,-0.0004899203777313232,0.47032052278518677,0.0047167903,-25.957495403289794
62,73728,36,1181,175,-0.0030006151646375656,0.006318650487810373,300.0,0.0455078125,0.36780810356140137,0.0002,230.8547414,0.2,-0.0021461902651935816,0.4983968138694763,0.005202157,-25.955520725250246
64,75776,37,1181,180,-0.0035972681595012545,0.007197161205112934,300.0,0.06435546875,0.36783769726753235,0.0002,230.16993648999997,0.2,-0.003944795578718185,0.5038728713989258,0.006214269,-25.96137399673462
65,77824,38,1180,185,-0.002023422461934388,0.008681126637384295,300.0,0.05263671875,0.3676907420158386,0.0002,230.12075288000003,0.2,-0.004460254218429327,0.5568023920059204,0.0025653867,-25.954572868347167
67,79872,39,1179,190,-0.00217410804471001,0.011913419282063843,300.0,0.0341796875,0.3675636053085327,0.0002,230.52410125999998,0.2,0.0031464542262256145,0.6261485815048218,0.0037759314,-25.92532730102539
69,81920,40,1179,195,-0.0024783039931207894,0.011500902799889445,300.0,0.04853515625,0.3674888014793396,0.0002,230.22309555,0.2,0.0011110161431133747,0.6035919189453125,0.0034376464,-25.911295795440672
71,83968,41,1178,200,-0.0039095082087442275,0.005747885163873434,300.0,0.08125,0.3673913776874542,0.0002,230.22309555,0.2,-0.009990419261157513,0.4161894917488098,0.007138015,-25.896776008605958
73,86016,42,1178,205,-0.003280626004561782,0.007658867072314024,300.0,0.033203125,0.3673423230648041,0.0002,230.16645848999997,0.2,-0.0029867743141949177,0.5515080690383911,0.0070360657,-25.882937145233154
74,88064,43,1178,210,-0.0028592123417183757,0.009340052166953683,300.0,0.02294921875,0.3673652410507202,0.0002,230.13551776000003,0.2,-0.0024410956539213657,0.505145788192749,0.0034628096,-25.880571269989012
76,90112,44,1176,215,-0.0030455495230853557,0.009065027767792343,300.0,0.0359375,0.3673665523529053,0.0002,229.12407061,0.2,0.0008352445438504219,0.5735548734664917,0.0045845076,-25.883964347839356
78,92160,45,1174,220,-0.00444628931581974,0.008007213310338556,300.0,0.05546875,0.36739787459373474,0.0002,228.40595886,0.2,-0.0013406965881586075,0.4705352783203125,0.0045576245,-25.884321880340575
80,94208,46,1172,225,-0.003576612682081759,0.005913098668679595,300.0,0.04833984375,0.3674834668636322,0.0002,227.60515122999996,0.2,-0.005806975997984409,0.5549930334091187,0.006997886,-25.89371109008789
82,96256,47,1171,230,-0.0008489494444802404,0.004838952235877514,300.0,0.0373046875,0.3675537109375,0.0002,226.92728311999997,0.2,-0.008127200417220592,0.5678266882896423,0.007188106,-25.909811592102052
83,98304,48,1170,235,-0.0035111907636746764,0.006161179579794407,300.0,0.0291015625,0.36757829785346985,0.0002,226.92728311999997,0.2,-0.0015597310848534107,0.4963284730911255,0.0056640776,-25.916864490509035
85,100352,49,1170,240,-0.0027872920967638493,0.009601808502338827,300.0,0.02607421875,0.3675817549228668,0.0002,226.22424311999998,0.2,-0.0037734024226665497,0.5137611627578735,0.0045692646,-25.91915283203125
87,102400,50,1168,245,-0.0039709307020530105,0.0070220798719674345,300.0,0.05771484375,0.3675486147403717,0.0002,226.07646226,0.2,-0.005520402919501066,0.5071948766708374,0.0034202477,-25.91759910583496
89,104448,51,1167,250,-0.001182088628411293,0.009230167046189309,300.0,0.075,0.36746856570243835,0.0002,226.91071912999996,0.2,-0.004587938077747822,0.5713716745376587,0.005235208,-25.908449268341066
