time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/approx_kl,train/std,train/learning_rate,train/entropy_loss,train/n_updates,rollout/ep_len_mean,train/loss,train/explained_variance,train/clip_fraction
43008,3887,21,11,0.15444570826366544,230.34709074999995,0.034140320494771004,0.2,0.67860353,0.3678280711174011,0.0002,-25.965283393859863,20,300.0,0.3260963559150696,-0.6720669269561768,0.4384765625
45056,3882,22,11,0.16463409271091223,231.36971923000002,0.037507977336645126,0.2,0.74351466,0.3678297698497772,0.0002,-25.965649604797363,21,300.0,0.3494838774204254,-1.1590454578399658,0.4384765625
47104,3878,23,12,0.18937277141958475,230.39479953999998,0.045650415122509,0.2,1.2691472,0.36783143877983093,0.0002,-25.96593189239502,22,300.0,0.401431679725647,-0.8919073343276978,0.4677734375
49152,3870,24,12,0.13192691188305616,231.15782077,0.037830157205462456,0.2,0.3657775,0.36783021688461304,0.0002,-25.965962409973145,23,300.0,0.2818009555339813,-0.3884568214416504,0.4111328125
51200,3874,25,13,0.07938311900943518,230.86450429000004,0.03617791272699833,0.2,0.2281744,0.36782968044281006,0.0002,-25.96580696105957,24,300.0,0.1776905357837677,-0.3949418067932129,0.3203125
53248,3872,26,13,0.11251598224043846,231.71082402,0.03761500120162964,0.2,0.26366988,0.3678293228149414,0.0002,-25.965730667114258,25,300.0,0.24404644966125488,-0.5190274715423584,0.3828125
55296,3874,27,14,0.060117386281490326,233.57495922,0.029379955492913723,0.2,0.13522445,0.3678302466869354,0.0002,-25.965776443481445,26,300.0,0.1336667239665985,-0.3655858039855957,0.25390625
57344,3883,28,14,0.1719492068514228,233.57495922,0.0374820102006197,0.2,0.41011178,0.36782893538475037,0.0002,-25.965744018554688,27,300.0,0.3610799312591553,-0.8365459442138672,0.435546875
59392,3876,29,15,0.18074357137084007,233.77977577,0.03166502621024847,0.2,0.8919203,0.36782705783843994,0.0002,-25.965479850769043,28,300.0,0.3763899803161621,-0.4169020652770996,0.4619140625
61440,3865,30,15,0.10481154872104526,232.97290577999996,0.031200013123452663,0.2,0.28270006,0.36782610416412354,0.0002,-25.965242385864258,29,300.0,0.22502700984477997,-0.05860757827758789,0.4423828125
63488,3870,31,16,0.18185380287468433,232.09476994999997,0.03559896722435951,0.2,0.69272834,0.3678252100944519,0.0002,-25.9650821685791,30,300.0,0.381435364484787,-0.6843172311782837,0.4609375
65536,3861,32,16,0.06797262979671359,233.46362143000002,0.03131627291440964,0.2,0.15158173,0.367824912071228,0.0002,-25.96498394012451,31,300.0,0.15102769434452057,-0.2986319065093994,0.39453125
67584,3852,33,17,0.166168631054461,234.99963260999996,0.0342954657971859,0.2,0.45425567,0.3678246736526489,0.0002,-25.964938163757324,32,300.0,0.34941601753234863,-0.045772552490234375,0.4462890625
69632,3851,34,18,0.0464424192905426,235.45682456999998,0.0272917365655303,0.2,0.08548032,0.3678247034549713,0.0002,-25.964920043945312,33,300.0,0.10444489121437073,-0.16449308395385742,0.32421875
71680,3852,35,18,0.11554673267528415,235.45682456999998,0.038024697452783585,0.2,0.19683255,0.36782386898994446,0.0002,-25.96485424041748,34,300.0,0.24931442737579346,-0.9067636728286743,0.30078125
73728,3848,36,19,0.056050381157547235,235.61960449000006,0.03130372054874897,0.2,0.1706881,0.3678241968154907,0.0002,-25.964808464050293,35,300.0,0.12572632730007172,-0.4083439111709595,0.34765625
75776,3850,37,19,0.07815623003989458,235.06230712999997,0.023852434940636158,0.2,0.26351735,0.3678259551525116,0.0002,-25.964981079101562,36,300.0,0.1661200076341629,0.16579771041870117,0.419921875
77824,3856,38,20,0.1269673639908433,234.90685687,0.0254293754696846,0.2,0.3108065,0.3678276240825653,0.0002,-25.96526336669922,37,300.0,0.26547420024871826,-0.5343204736709595,0.41796875
79872,3851,39,20,0.08223617263138294,235.62197847000004,0.02964328695088625,0.2,0.20598693,0.36782941222190857,0.0002,-25.965553283691406,38,300.0,0.1770569384098053,-0.3132072687149048,0.3896484375
81920,3848,40,21,0.07562662102282047,235.20478814,0.023252069018781185,0.2,0.26931292,0.3678307831287384,0.0002,-25.96582317352295,39,300.0,0.16157861053943634,0.08680123090744019,0.380859375
83968,3856,41,21,0.11663791444152594,235.20478814,0.023298554122447968,0.2,0.35197708,0.3678320050239563,0.0002,-25.966044425964355,40,300.0,0.24286113679409027,-0.5096435546875,0.3994140625
86016,3853,42,22,0.09493622789159417,235.32762798999997,0.02648058533668518,0.2,0.17857423,0.36783263087272644,0.0002,-25.966198921203613,41,300.0,0.20260408520698547,-0.8978967666625977,0.34765625
88064,3849,43,22,0.10425928328186274,235.32482367,0.02587733417749405,0.2,0.25393236,0.36783379316329956,0.0002,-25.966341018676758,42,300.0,0.21933777630329132,-0.38681602478027344,0.3984375
90112,3852,44,23,0.09362298622727394,234.46892667,0.029052045196294785,0.2,0.13549902,0.36783477663993835,0.0002,-25.966522216796875,43,300.0,0.20036259293556213,-0.825248122215271,0.3056640625
92160,3852,45,23,0.062373497523367405,233.76996284,0.022949665784835815,0.2,0.15225446,0.3678357005119324,0.0002,-25.96668815612793,44,300.0,0.13605660200119019,0.12479686737060547,0.3857421875
94208,3850,46,24,0.05030130874365568,232.94240893000003,0.030001099221408367,0.2,0.088961765,0.3678361177444458,0.0002,-25.966796875,45,300.0,0.11310703307390213,-0.07855463027954102,0.2705078125
96256,3851,47,24,0.023532606661319733,232.36415652,0.017745619639754295,0.2,0.047957685,0.36783668398857117,0.0002,-25.96687412261963,46,300.0,0.05477309226989746,0.04583024978637695,0.2353515625
98304,3853,48,25,0.019379730336368084,232.36415652,0.024507755413651466,0.2,0.038421087,0.367837131023407,0.0002,-25.966955184936523,47,300.0,0.05044513940811157,-0.03977787494659424,0.2236328125
100352,3835,49,26,0.026896977021048468,231.41915049999997,0.028302648415168125,0.2,0.049621258,0.3678372800350189,0.0002,-25.966999053955078,48,300.0,0.09228914976119995,-0.0645287036895752,0.29296875
102400,3830,50,26,0.05024288780987263,231.14817199,0.02478372771292925,0.2,0.08667288,0.36783772706985474,0.0002,-25.96705913543701,49,300.0,0.11242447048425674,-0.17962920665740967,0.2841796875
104448,3836,51,27,0.07787674572318792,231.87537960999998,0.02215867768973112,0.2,0.15983748,0.36783745884895325,0.0002,-25.967071533203125,50,300.0,0.16610713303089142,-0.1540074348449707,0.3720703125
106496,3834,52,27,0.1508227246813476,230.95499155999997,0.027697061188519,0.2,0.5946429,0.3678372800350189,0.0002,-25.96702766418457,51,300.0,0.3144889771938324,0.06242501735687256,0.453125
