time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/clip_range,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/value_loss,train/std,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/explained_variance
163840,80,148,1100,-0.004476561676710844,0.2,395,227.74370266999998,-25.82061824798584,0.04501953125,0.007080312236212194,0.3670728802680969,300.0,0.0034008506,-0.001492419233545661,0.0002,0.6000968813896179
165888,81,150,1099,-0.004697756376117468,0.2,400,226.80850185000003,-25.83176212310791,0.0955078125,0.006729836598969996,0.36708053946495056,300.0,0.00783824,-0.002565504820086062,0.0002,0.5431650280952454
167936,82,152,1099,-0.0033420766703784466,0.2,405,226.80850185000003,-25.823679542541505,0.05078125,0.0051585592096671466,0.3669672906398773,300.0,0.0029002565,-0.0036739092436619105,0.0002,0.6361395716667175
169984,83,154,1099,-0.005988026969134808,0.2,410,226.48078816999998,-25.808334255218504,0.04375,0.004623115970753133,0.3669464588165283,300.0,0.003507309,-0.004016047925688326,0.0002,0.5891228914260864
172032,84,156,1100,0.003036870388314128,0.2,415,224.8643106199999,-25.80671615600586,0.061328125,0.005915969028137624,0.3669157326221466,300.0,0.0056125154,-0.0007444589864462614,0.0002,0.6198787093162537
174080,85,158,1101,0.004426458850502968,0.2,420,225.12156993,-25.80092010498047,0.011328125,0.008044604025781155,0.3668900430202484,300.0,0.0031724842,-0.003465944202616811,0.0002,0.6020479202270508
176128,86,159,1102,-0.006070520728826523,0.2,425,223.43526554000005,-25.799195194244383,0.04345703125,0.0053902297047898175,0.36690977215766907,300.0,0.004993211,-0.0031489789951592686,0.0002,0.6655460596084595
178176,87,161,1102,-0.001700752880424261,0.2,430,224.27553274,-25.799298763275146,0.06474609375,0.006046193861402571,0.36687225103378296,300.0,0.006979167,-0.003455681446939707,0.0002,0.5874276161193848
180224,88,163,1103,0.001975631108507514,0.2,435,223.89563176,-25.795793533325195,0.0455078125,0.0057206647237762805,0.3669146001338959,300.0,0.0068527074,-0.004013660713098943,0.0002,0.5418677926063538
182272,89,165,1103,-0.011536133475601673,0.2,440,223.89563176,-25.80568027496338,0.0513671875,0.0046314672799780965,0.36695703864097595,300.0,0.006296794,-0.002799101290293038,0.0002,0.4132457375526428
184320,90,167,1103,-0.004445279017090797,0.2,445,223.74213204000003,-25.802621841430664,0.0501953125,0.005371402669698,0.3668537735939026,300.0,0.007448527,-0.0028393204556778073,0.0002,0.4758380651473999
186368,91,168,1102,-0.006064204964786768,0.2,450,223.34971552,-25.787882709503172,0.0708984375,0.006684628082439303,0.36684009432792664,300.0,0.0112168845,-0.0013643841492012143,0.0002,0.5722441673278809
188416,92,170,1102,-0.0051603070460259914,0.2,455,224.02734199000002,-25.79037389755249,0.09931640625,0.005447735451161862,0.3668481111526489,300.0,0.0092071025,0.0005169773008674383,0.0002,0.5668169260025024
190464,93,172,1102,0.00044491165317595005,0.2,460,224.69108083999998,-25.792597007751464,0.04169921875,0.007333455514162779,0.3668777048587799,300.0,0.003848141,-0.0026299338322132828,0.0002,0.4410461187362671
192512,94,174,1102,-0.0036521232686936855,0.2,465,223.96736783999998,-25.792545986175536,0.04990234375,0.0072356173768639565,0.36681950092315674,300.0,0.005800998,-0.0051686908584088085,0.0002,0.5753315091133118
194560,95,176,1102,-0.011302920989692211,0.2,470,225.95287667999997,-25.78407564163208,0.05986328125,0.006999566801823676,0.3668084740638733,300.0,0.008149367,-0.0042800530209206045,0.0002,0.5809290409088135
