time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/std,train/entropy_loss,rollout/ep_rew_mean,train/approx_kl,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/clip_fraction,train/learning_rate
116,62,237568,3830,0.0221991753205657,0.019572514109313488,300.0,0.3678354322910309,-25.967005729675293,232.03397157000003,0.024594575,0.053573839366436005,-0.2957531213760376,0.2,115,0.2626953125,0.0002
117,62,239616,3831,0.04640424624085426,0.018123988062143326,300.0,0.3678321838378906,-25.966337203979492,233.54438066,0.076697364,0.10040658712387085,-0.025028109550476074,0.2,116,0.31640625,0.0002
118,63,241664,3830,0.022295584436506033,0.019868915900588036,300.0,0.3678295612335205,-25.965835571289062,234.26990996999996,0.03507741,0.05327489972114563,0.1348075270652771,0.2,117,0.2431640625,0.0002
119,63,243712,3829,0.07116248644888401,0.023209250532090664,300.0,0.3678266406059265,-25.965364456176758,234.26082193000002,0.15855967,0.152420774102211,0.18262642621994019,0.2,118,0.3388671875,0.0002
120,64,245760,3832,0.11205455381423235,0.02617477811872959,300.0,0.36782339215278625,-25.964845657348633,233.67781372999997,0.3479006,0.23718100786209106,-0.13120484352111816,0.2,119,0.435546875,0.0002
121,64,247808,3831,0.19481248361989856,0.025314878672361374,300.0,0.3678206205368042,-25.964341163635254,233.23429596999998,0.6196732,0.40236157178878784,-0.1089860200881958,0.2,120,0.46484375,0.0002
122,65,249856,3831,0.11925423797219992,0.02648865431547165,300.0,0.36781826615333557,-25.963912963867188,233.17608222,0.38949,0.25049272179603577,0.035281479358673096,0.2,121,0.4111328125,0.0002
123,65,251904,3832,0.05061068991199136,0.02906778547912836,300.0,0.36781442165374756,-25.963393211364746,233.17608222,0.08501291,0.11531033366918564,0.06586986780166626,0.2,122,0.3076171875,0.0002
124,66,253952,3833,0.12691749725490808,0.03203662671148777,300.0,0.3678114414215088,-25.962817192077637,233.19586757000002,0.25953352,0.2690371870994568,-0.22733521461486816,0.2,123,0.3876953125,0.0002
125,66,256000,3830,0.12129493430256844,0.0358107965439558,300.0,0.367808997631073,-25.962356567382812,233.34742980000001,0.18018618,0.2601425349712372,-0.019553661346435547,0.2,124,0.4150390625,0.0002
126,67,258048,3830,0.04343107156455517,0.03061295486986637,300.0,0.3678063452243805,-25.961926460266113,233.30699081999998,0.068912566,0.10016600042581558,0.24995994567871094,0.2,125,0.3310546875,0.0002
127,67,260096,3832,0.06790385721251369,0.029721668921411037,300.0,0.36780574917793274,-25.961654663085938,231.90970850999997,0.14588796,0.14967124164104462,0.26544660329818726,0.2,126,0.3505859375,0.0002
128,68,262144,3831,0.04263307433575392,0.03194669261574745,300.0,0.3678038418292999,-25.961441040039062,231.02650123,0.06493758,0.10013553500175476,0.2699861526489258,0.2,127,0.2880859375,0.0002
129,68,264192,3830,0.12630698434077203,0.02794717624783516,300.0,0.36780184507369995,-25.96110725402832,230.94827708,0.2886724,0.26588040590286255,0.3030727505683899,0.2,128,0.427734375,0.0002
130,69,266240,3831,0.023596908897161484,0.027461969293653965,300.0,0.3678024113178253,-25.96098804473877,230.94827708,0.044999495,0.05930284783244133,0.1540541648864746,0.2,129,0.2548828125,0.0002
131,70,268288,3830,0.122800731100142,0.026217801496386528,300.0,0.3678026497364044,-25.9610595703125,230.64848973,0.18965453,0.2576894760131836,0.11084455251693726,0.2,130,0.4072265625,0.0002
132,70,270336,3828,0.15960450191050768,0.02548450604081154,300.0,0.3678016662597656,-25.9609956741333,231.69988707000005,0.41199523,0.33028119802474976,0.2821226716041565,0.2,131,0.4375,0.0002
133,71,272384,3829,0.1199564104899764,0.02174448687583208,300.0,0.3678010106086731,-25.960850715637207,231.40853057000004,0.60052764,0.2506362795829773,0.4892461895942688,0.2,132,0.453125,0.0002
134,71,274432,3830,0.17711236141622066,0.023330146446824074,300.0,0.36780038475990295,-25.960742950439453,231.69708062,0.35494983,0.364947646856308,0.46750229597091675,0.2,133,0.439453125,0.0002
135,72,276480,3829,0.15660569537431002,0.03056197240948677,300.0,0.3678014576435089,-25.960784912109375,233.18781894,0.5847485,0.3285146951675415,0.2982526421546936,0.2,134,0.462890625,0.0002
136,72,278528,3829,0.24121528957039118,0.024560123682022095,300.0,0.3678026497364044,-25.960979461669922,233.94005589000005,1.0197845,0.4937933385372162,0.12568330764770508,0.2,135,0.4736328125,0.0002
137,73,280576,3831,0.22689491789788008,0.026268799789249897,300.0,0.3678034245967865,-25.961146354675293,233.94005589000005,1.1304327,0.4660525321960449,0.326729416847229,0.2,136,0.4736328125,0.0002
