time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/clip_range,train/std
78,1100,145,159744,-0.2979772090911865,-0.005010356684215367,-28.75399866104126,0.006385507,0.6419708728790283,227.11429410999995,0.04541015625,385,300.0,0.0002,0.0056440809043124315,0.2,0.3849223554134369
79,1101,146,161792,-0.28836917877197266,-0.002544943284010515,-28.793580722808837,0.0033728536,0.6672834753990173,226.25160911999998,0.058984375,390,300.0,0.0002,0.006331226299516856,0.2,0.3851810097694397
80,1101,148,163840,-0.2951710820198059,-0.0017850450589321555,-28.83975839614868,0.0038708535,0.5987920761108398,226.40315855999998,0.04365234375,395,300.0,0.0002,0.007107504550367594,0.2,0.38550835847854614
81,1100,150,165888,-0.29591500759124756,-0.003054510895162821,-28.885391998291016,0.008024688,0.5268949270248413,225.43196334999996,0.09248046875,400,300.0,0.0002,0.00690620350651443,0.2,0.3857138752937317
82,1099,152,167936,-0.290881484746933,-0.0030151512706652283,-28.91007719039917,0.0057243593,0.6351020932197571,225.43196334999996,0.06298828125,405,300.0,0.0002,0.005545498454011977,0.2,0.3858320713043213
83,1099,154,169984,-0.29504454135894775,-0.004258831753395498,-28.93439950942993,0.0042749983,0.598434567451477,225.0891971,0.040234375,410,300.0,0.0002,0.004638293595053256,0.2,0.3860444724559784
84,1100,156,172032,-0.28899070620536804,-0.001988096651621163,-28.969805908203124,0.005120093,0.6184836626052856,223.4536027,0.03515625,415,300.0,0.0002,0.005883959261700511,0.2,0.38623905181884766
85,1101,158,174080,-0.28333401679992676,-0.0031673410092480482,-29.00167121887207,0.004262317,0.5996782779693604,223.68738158,0.016015625,420,300.0,0.0002,0.007954412093386053,0.2,0.3864727020263672
86,1102,159,176128,-0.2951282858848572,-0.00312054599635303,-29.043511867523193,0.0045531797,0.6711691617965698,221.97710781,0.0390625,425,300.0,0.0002,0.005364347319118679,0.2,0.38676589727401733
87,1102,161,178176,-0.2912781834602356,-0.0025158781674690543,-29.085622310638428,0.006608912,0.5845487713813782,222.80000869,0.07529296875,430,300.0,0.0002,0.006398960296064615,0.2,0.3869638741016388
88,1103,163,180224,-0.28730708360671997,-0.003859641368035227,-29.120499992370604,0.0061173327,0.542404055595398,222.39579631000004,0.04208984375,435,300.0,0.0002,0.0059700151672586795,0.2,0.38727250695228577
89,1103,165,182272,-0.3031286895275116,-0.0030107043450698255,-29.170401859283448,0.0058512837,0.42292970418930054,222.39579631000004,0.04794921875,440,300.0,0.0002,0.004549889895133674,0.2,0.3875294327735901
90,1103,167,184320,-0.29707983136177063,-0.003404567134566605,-29.199463272094725,0.0071168374,0.47361016273498535,222.22572231000007,0.0564453125,445,300.0,0.0002,0.005797706567682326,0.2,0.3876276910305023
91,1103,168,186368,-0.2968556582927704,-0.00176446121186018,-29.219226169586182,0.009179315,0.5855835676193237,221.80539460000003,0.05966796875,450,300.0,0.0002,0.006667683529667556,0.2,0.38783276081085205
